score,grid_h,grid_w,board_area,board_ratio,avg_actions_per_apple,avg_timeouts_per_apple,game_duration,avg_apple_time,player,seed,win
37,10,10,100,0.37,8.54054054054054,0,5547575134,149000000,astar-adv,1,false
26,10,10,100,0.26,5.961538461538462,0,2864990863,110000000,astar-adv,2,false
32,10,10,100,0.32,7.75,0,4415598440,137000000,astar-adv,3,false
34,10,10,100,0.34,8.352941176470589,0,5049396003,148000000,astar-adv,4,false
29,10,10,100,0.29,6.9655172413793105,0,3648154142,125000000,astar-adv,5,false
23,10,10,100,0.23,7.043478260869565,0,2997943183,130000000,astar-adv,6,false
40,10,10,100,0.4,8.975,0,6266374802,156000000,astar-adv,7,false
25,10,10,100,0.25,7.36,0,3347974336,133000000,astar-adv,8,false
41,10,10,100,0.41,8.804878048780488,0,6315846947,154000000,astar-adv,9,false
23,10,10,100,0.23,6.739130434782608,0,2881410471,125000000,astar-adv,10,false
24,10,10,100,0.24,7.416666666666667,0,3265232572,136000000,astar-adv,11,false
33,10,10,100,0.33,8.393939393939394,0,4915737805,148000000,astar-adv,12,false
31,10,10,100,0.31,7.387096774193548,0,4115455966,132000000,astar-adv,13,false
34,10,10,100,0.34,9.205882352941176,0,5499038967,161000000,astar-adv,14,false
31,10,10,100,0.31,7.709677419354839,0,4265426139,137000000,astar-adv,15,false
33,10,10,100,0.33,6.666666666666667,0,3948854553,119000000,astar-adv,16,false
34,10,10,100,0.34,8.529411764705882,0,5132329013,150000000,astar-adv,17,false
22,10,10,100,0.22,7.954545454545454,0,3198154260,145000000,astar-adv,18,false
21,10,10,100,0.21,7.428571428571429,0,2864861056,136000000,astar-adv,19,false
38,10,10,100,0.38,7.815789473684211,0,5214270763,137000000,astar-adv,20,false
