score,grid_h,grid_w,board_area,board_ratio,avg_actions_per_apple,avg_timeouts_per_apple,game_duration,avg_apple_time,player,seed,win
100,10,10,100,1,25.4,0,42618714647,426000000,hamilton,1,true
100,10,10,100,1,22.65,0,38059758941,380000000,hamilton,2,true
100,10,10,100,1,24.21,0,40645032801,406000000,hamilton,3,true
100,10,10,100,1,25.23,0,42346017085,423000000,hamilton,4,true
100,10,10,100,1,21.22,0,35692931460,356000000,hamilton,5,true
100,10,10,100,1,24.99,0,41929234345,419000000,hamilton,6,true
100,10,10,100,1,24.86,0,41729595543,417000000,hamilton,7,true
100,10,10,100,1,24.78,0,41596052332,415000000,hamilton,8,true
100,10,10,100,1,24.46,0,41045853124,410000000,hamilton,9,true
100,10,10,100,1,21.97,0,36927364551,369000000,hamilton,10,true
100,10,10,100,1,25.71,0,43129891014,431000000,hamilton,11,true
100,10,10,100,1,24.36,0,40895224666,408000000,hamilton,12,true
100,10,10,100,1,25.07,0,42096088753,420000000,hamilton,13,true
100,10,10,100,1,21.78,0,36576913850,365000000,hamilton,14,true
100,10,10,100,1,24.07,0,40395349742,403000000,hamilton,15,true
100,10,10,100,1,26.53,0,44497224437,444000000,hamilton,16,true
100,10,10,100,1,26.22,0,43979974937,439000000,hamilton,17,true
100,10,10,100,1,25.5,0,42829374032,428000000,hamilton,18,true
100,10,10,100,1,24.03,0,40345645608,403000000,hamilton,19,true
100,10,10,100,1,23.56,0,39545446130,395000000,hamilton,20,true
