score,grid_h,grid_w,board_area,board_ratio,avg_actions_per_apple,avg_timeouts_per_apple,game_duration,avg_apple_time,player,seed,win
26,10,10,100,0.26,7.384615384615385,0,3491718138,134000000,rta,1,false
29,10,10,100,0.29,7.517241379310345,0,3915348389,135000000,rta,2,false
25,10,10,100,0.25,8.6,0,3865220994,154000000,rta,3,false
32,10,10,100,0.32,7.75,0,4415588429,137000000,rta,4,false
22,10,10,100,0.22,6.318181818181818,0,2581739676,117000000,rta,5,false
25,10,10,100,0.25,6.08,0,2814086044,112000000,rta,6,false
31,10,10,100,0.31,8.290322580645162,0,4582441833,147000000,rta,7,false
26,10,10,100,0.26,7,0,3298828104,126000000,rta,8,false
31,10,10,100,0.31,7.161290322580645,0,3965123783,127000000,rta,9,false
34,10,10,100,0.34,9.205882352941176,0,5498470401,161000000,rta,10,false
14,10,10,100,0.14,5.571428571428571,0,1597658367,114000000,rta,11,false
34,10,10,100,0.34,6.9411764705882355,0,4198704604,123000000,rta,12,false
19,10,10,100,0.19,5.421052631578948,0,2014955289,106000000,rta,13,false
14,10,10,100,0.14,5.571428571428571,0,1598966225,114000000,rta,14,false
24,10,10,100,0.24,7.25,0,3180063927,132000000,rta,15,false
20,10,10,100,0.2,5.45,0,2098146564,104000000,rta,16,false
16,10,10,100,0.16,5,0,1627353194,101000000,rta,17,false
18,10,10,100,0.18,7.666666666666667,0,2585740452,143000000,rta,18,false
33,10,10,100,0.33,8.606060606060606,0,5016060767,152000000,rta,19,false
18,10,10,100,0.18,6.222222222222222,0,2197178592,122000000,rta,20,false
